"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX5991930","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678194","","698.98","1","23300663","1932590106","Metformin_5mM_T3h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991929","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678193","","687.45","1","23366418","1941963896","Metformin_5mM_T3h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991928","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678192","","635.77","1","21364841","1774311531","Metformin_5mM_T30_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991927","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678190","","654.74","1","22039016","1830275754","Metformin_5mM_T1h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991926","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678189","","638.78","1","21242424","1762450105","Metformin_5mM_T1h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991925","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678188","","678.33","1","22319033","1848540103","Metformin_5mM_T15_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991924","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678187","","655.31","1","21724435","1801543023","Metformin_5mM_T15_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991923","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678186","","740.51","1","24679981","2046428465","Metformin_5mM_T0_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991922","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678182","","394.24","1","13294780","1103718292","Control_T96h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991921","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678180","","419.61","1","14168338","1176789574","Control_T48h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991920","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678179","","360.39","1","12126378","1006762876","Control_T48h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991919","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678178","","632.85","1","21387988","1776740445","Control_T3h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991918","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678177","","545.16","1","18578730","1544168462","Control_T3h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991917","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678176","","651.08","1","21578750","1788845520","Control_T30_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991916","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678175","","627.69","1","21077286","1751248363","Control_T30_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991915","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678174","","669.9","1","22272135","1846864924","Control_T1h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991914","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678173","","532.22","1","18117900","1505819606","Control_T1h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991913","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678172","","705.6","1","23495081","1948261642","Control_T15_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991912","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678170","","701.21","1","23346579","1935878711","Control_T0_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991911","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678169","","667.18","1","22181107","1838995341","Control_T0_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991910","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678168","","534.85","1","18397313","1529563688","Chlorpromazine_20uM_T96h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991909","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678167","","480.28","1","16279905","1349748785","Chlorpromazine_20uM_T96h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991908","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678165","","691.97","1","22844272","1892995297","Chlorpromazine_20uM_T48h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991907","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678164","","565.59","1","19125437","1588141243","Chlorpromazine_20uM_T3h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991906","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678163","","619.97","1","20887898","1735340320","Chlorpromazine_20uM_T3h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991905","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678162","","546.05","1","18547959","1541040405","Chlorpromazine_20uM_T30_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991904","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678161","","560.01","1","18979795","1576839320","Chlorpromazine_20uM_T30_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991903","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678160","","690.83","1","22943330","1901912318","Chlorpromazine_20uM_T1h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991902","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678159","","649.45","1","21792999","1809768463","Chlorpromazine_20uM_T1h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991901","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678157","","582.76","1","19577649","1626413534","Chlorpromazine_20uM_T15_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991900","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678156","","655.2","1","21776589","1805277786","Chlorpromazine_20uM_T0_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991899","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678155","","734.09","1","24400342","2022998591","Chlorpromazine_20uM_T0_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991898","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678148","","378.27","1","12768125","1059793664","Niclosamide_20uM_T96h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991897","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678147","","770.5","1","25079924","2074031778","Niclosamide_20uM_T96h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991896","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678146","","338.76","1","11386969","942769471","Niclosamide_20uM_T48h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991895","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678145","","636.79","1","20697584","1709671737","Niclosamide_20uM_T48h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991894","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678144","","729.81","1","24696482","2050753237","Niclosamide_20uM_T3h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991893","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678143","","726.97","1","24530986","2036469544","Niclosamide_20uM_T3h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991892","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678142","","488","1","16785847","1394514362","Niclosamide_20uM_T30_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991891","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678141","","683.64","1","22758266","1887808469","Niclosamide_20uM_T30_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991890","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678140","","753.26","1","26050740","2166627052","Niclosamide_20uM_T1h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991889","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678139","","711.9","1","23655135","1961698049","Niclosamide_20uM_T1h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991888","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678137","","710.18","1","23708721","1963672740","Niclosamide_20uM_T15_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991887","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678136","","683.05","1","22780932","1888078097","Niclosamide_20uM_T0_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991886","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678135","","775.06","1","25827949","2139532332","Niclosamide_20uM_T0_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991885","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678133","","816.4","1","27540075","2281667193","Metformin_5mM_T96h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991884","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678131","","696.09","1","22699673","1876396100","Metformin_5mM_T48h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991883","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678130","","655.36","1","22584945","1877898838","Metformin_5mM_T3h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991882","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678129","","731.53","1","25165908","2092408010","Metformin_5mM_T3h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991881","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678127","","661.67","1","22758439","1891516107","Metformin_5mM_T30_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991880","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678126","","733.53","1","25292988","2103237238","Metformin_5mM_T1h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991879","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678125","","739.81","1","25471963","2117924532","Metformin_5mM_T1h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991878","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678124","","619.6","1","20853973","1730689485","Metformin_5mM_T15_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991877","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678123","","706.99","1","23775902","1972936499","Metformin_5mM_T15_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991876","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678122","","702.29","1","23453446","1945892001","Metformin_5mM_T0_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991875","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678121","","773","1","25861756","2144485947","Metformin_5mM_T0_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991874","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678118","","734.22","1","23995419","1986463338","Control_T96h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991873","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678116","","795.49","1","25991094","2150412713","Control_T48h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991872","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678115","","502.79","1","17008541","1412108519","Control_T48h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991871","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678114","","701.27","1","24082532","2001702328","Control_T3h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991870","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678113","","625.07","1","21493669","1786887051","Control_T3h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991869","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678112","","731.74","1","24607568","2040942029","Control_T30_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991868","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678111","","522.35","1","17964552","1492979067","Control_T30_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991867","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678110","","718.69","1","24654193","2049791286","Control_T1h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991866","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678109","","644.4","1","22175125","1844186489","Control_T1h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991865","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678108","","498.99","1","17051897","1416761048","Control_T15_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991864","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678107","","752.48","1","25078976","2079286297","Control_T15_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991863","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678106","","768.07","1","25686510","2128743948","Control_T0_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991862","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678105","","720.54","1","24100090","1999130427","Control_T0_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991861","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678104","","612.69","1","19852383","1640006536","Chlorpromazine_20uM_T96h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
